Product Name,Price,Stock,Product URL,Product Image URL,Date,Store Name
Placa video Palit RTX 4080 JetStream 16GB GDDR6X 256-bit DLSS 3.0,"6.699,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/palit-placa-video-palit-rtx-4080-jetstream-16gb-gddr6x-256-bit-dlss-3.0-4107947.html,https://static3.evomag.ro/img?file=products%2F4107%2F4107947%2Fplaca-video-palit-rtx-4080-jet-64c0d706d89b2.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Sapphire PULSE Radeon RX 7900 XT AMD RDNA 3 20GB GDDR6 320-bit,"4.169,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-pulse-radeon-rx-7900-xt-amd-rdna-3-20gb-gddr6-320-bit-4073766.html,https://static3.evomag.ro/img?file=products%2F4073%2F4073766%2Fplaca-video-sapphire-pulse-rad-63bab5e139ef1.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4070 TI GAMING TRIO 12GB GDDR6X DLSS 3.0,"5.099,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4070-ti-gaming-trio-12gb-gddr6x-dlss-3.0-4074380.html,https://static3.evomag.ro/img?file=products%2F4074%2F4074380%2Fplaca-video-msi-geforce-rtx-40-63be9e050101d.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4070 Ti ROG STRIX GAMING OC 12GB GDDR6X 192-bit DLSS 3.0,"5.599,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4070-ti-rog-strix-gaming-oc-12gb-gddr6x-192-bit-dlss-3.0-4074048.html,https://static3.evomag.ro/img?file=products%2F4074%2F4074048%2Fplaca-video-asus-geforce-rtx-4-63bc30dded1cb.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
"Placa video ASUS Radeon RX 560 Rog Strix V2 Gaming, 4GB, GDDR5, 128 bit","571,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-radeon-rx-560-rog-strix-v2-gaming-4gb-gddr5-128-bit-4113315.html,https://static3.evomag.ro/img?file=products%2F4113%2F4113315%2Fplaca-video-asus-radeon-rx-560-64e896debee0a.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS Radeon RX 6650 XT DUAL OC 8GB GDDR6 128-bit,"2.220,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-radeon-rx-6650-xt-dual-oc-8gb-gddr6-128-bit-3926680.html,https://static3.evomag.ro/img?file=products%2F3926%2F3926680%2Fplaca-video-asus-radeon-rx-665-628391cd6728f.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video PNY GeForce RTX 4060 Ti XLR8 Gaming VERTO™ EPIC-X RGB Triple Fan DLSS 3 8GB GDDR6 128-bit,"2.299,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/pny-placa-video-pny-geforce-rtx-4060-ti-xlr8-gaming-verto-epic-x-rgb-triple-fan-dlss-3-8gb-gddr6-128-bit-4108220.html,https://static3.evomag.ro/img?file=products%2F4108%2F4108220%2Fplaca-video-pny-geforce-rtx-40-64c22795956ce.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS Radeon RX 7700 XT TUF Gaming OC 12GB GDDR6 192-bit,"2.799,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-radeon-rx-7700-xt-tuf-gaming-oc-12gb-gddr6-192-bit-4117266.html,https://static3.evomag.ro/img?file=products%2F4117%2F4117266%2Fplaca-video-asus-radeon-rx-770-64ff1535d9dd1.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Gainward GeForce RTX 3070 Phantom+ LHR 8GB GDDR6 256-bit,"2.599,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gainward-placa-video-gainward-geforce-rtx-3070-phantom-lhr-8gb-gddr6-256-bit-3835785.html,https://static3.evomag.ro/img?file=products%2F3835%2F3835785%2Fplaca-video-gainward-geforce-r-61a0ce562cbd5.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4070 Ti GAMING 12GB GDDR6X 192-bit DLSS 3.0,"4.799,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4070-ti-gaming-12gb-gddr6x-192-bit-dlss-3.0-4109904.html,https://static3.evomag.ro/img?file=products%2F4109%2F4109904%2Fplaca-video-gigabyte-geforce-r-63bc2b990fb66.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
